videoid,title,published_at,channel_title,viewcount,likecount,commentcount,duration,categoryid
qB7kLilZWwg,Latto - Somebody (Official Video),2025-05-16 14:01:27+00:00,Latto,400286,31990,1933,0 days 00:03:18,10
o7BcyAd6rqg,진 (Jin) 'Don't Say You Love Me' Official MV,2025-05-16 03:59:07+00:00,HYBE LABELS,5740777,1140959,102240,0 days 00:03:26,10
qyiOo214Ums,Worst Movie of the Year Just Came Out,2025-05-16 16:01:29+00:00,penguinz0,2116100,80920,5921,0 days 00:17:36,24
wM--5vGraQQ,LISA - WHEN I'M WITH YOU feat. Tyla (Official Music Video),2025-05-16 13:00:07+00:00,LLOUD Official,3285377,464556,31238,0 days 00:03:11,10
agu22bqGHto,Charli xcx - party 4 u (official video),2025-05-15 16:00:04+00:00,Charli xcx,1594516,168195,11209,0 days 00:04:57,10
JKH5_UyDgsQ,I built a LEGO MINECRAFT WORLD...,2025-05-16 15:05:19+00:00,TD BRICKS,766152,15453,2115,0 days 00:10:17,24
Ox8ZLF6cGM0,Superman | Official Trailer | DC,2025-05-14 15:45:45+00:00,DC,21742956,477510,37252,0 days 00:03:03,1
84tAR-DMuuM,"The May 15, 2025 Severe Weather Coverage, As It Happened...",2025-05-16 04:25:33+00:00,"Ryan Hall, Y'all",1067074,26154,239,0 days 09:48:16,25
ughjjjC69vw,2 arrested after drug raid in Robertson County,2025-05-10 10:52:51+00:00,WKRN News 2,75752,190,29,0 days 00:00:28,25
GFOn3frHcLY,State of Origin 2025 Match Highlights | NSW Blues v QLD Maroons | Game II,2025-05-15 11:42:32+00:00,NRLW - National Rugby League Women's,71904,908,126,0 days 00:04:40,17
F-8TMhbKAuA,The Cult that Took Over a City & Killed Thousands,2025-05-15 19:03:28+00:00,Wendigoon,883478,44137,3492,0 days 01:01:03,24
RQxQZV66Bl8,"803Fresh - Boots On The Ground (Official Music Video) ""Where Them Fans At?""",2025-05-15 10:00:31+00:00,803Fresh,1082747,27464,2634,0 days 00:04:11,10
005KJ4lJ6sE,Cazzu - Mala Suerte (Video Oficial),2025-05-16 00:00:22+00:00,CAZZU Canal Oficial,1496231,198657,30688,0 days 00:04:26,10
cjmtDjLpxh0,We Bought Every Hercules Tool at Harbor Freight,2025-05-16 15:01:05+00:00,BigTime,250880,11805,829,0 days 00:49:56,2
Y6jyPJ8QJK8,"Morgan Wallen, Tate McRae - What I Want (Audio)",2025-05-16 04:00:51+00:00,MorganWallenVEVO,216884,8552,718,0 days 00:03:05,10
5HiDBaqLX28,Ángela Aguilar - Corazón De Piedra (Video Oficial),2025-05-16 00:00:06+00:00,Angela Aguilar Oficial,1242370,37032,16979,0 days 00:02:45,10
Qd4F-Woh8KU,Joey Bada$$ - THE FINALS (Official Audio),2025-05-15 16:35:16+00:00,Joey Bada$$,531676,43969,7803,0 days 00:04:01,10
ptvAsSEv-KI,Lil Poppa - Blame Chevy (Poppa Diss),2025-05-16 04:01:17+00:00,Lil Poppa,147932,8981,292,0 days 00:02:54,10
LB1NZFplFn0,ANSLOM_WAITING FOR YOU (Official Music Video),2025-05-08 14:00:05+00:00,Anslom,209638,4037,841,0 days 00:05:20,10
S_MijiGiQNI,PRESIDENT - In the Name of the Father,2025-05-15 23:00:06+00:00,PRESIDENT,360733,29083,5773,0 days 00:03:49,22
FzQ_JckZMec,Cheap Drift Car Build! (LS Swapped Miata),2025-05-16 00:00:01+00:00,CboysTV,1524151,57165,4361,0 days 00:37:54,22
Oq52pyIU1D8,Champagne - Tito Double P (Video Oficial),2025-05-16 00:00:07+00:00,Tito Double P,872553,52858,2769,0 days 00:03:17,10
IgOZ79LbMPc,BossMan Dlow - Hit Ft. Gucci Mane (Official Music Video),2025-05-15 20:00:07+00:00,BossMan Dlow,288009,15887,1060,0 days 00:02:56,10
bV9SOv_Y61s,Lola Young - One Thing (Official Video),2025-05-16 09:08:55+00:00,Lola Young,205483,14332,1197,0 days 00:03:31,10
2Ndra-1Pwug,Shakira & Wyclef Jean - Hips Don't Lie (Live from LMYNL World Tour),2025-05-15 20:51:51+00:00,Shakira,884064,23163,1445,0 days 00:04:56,26
